simplified,pinyin,traditional,pos,classifier,definition,source
志愿,zhì yuàn,志願,"n, v",,aspiration,new-HSK3
志愿,zhì yuàn,志願,"n, v",,ambition,new-HSK3
志愿,zhì yuàn,志願,"n, v",,to volunteer,new-HSK3
志愿者,zhì yuàn zhě,志願者,n,,volunteer,new-HSK3
制定,zhì dìng,制定,"v, vn",,to draw up; to formulate,"old-HSK5, new-HSK3"
制度,zhì dù,制度,n,个,"system (e.g. political, adminstrative etc)","old-HSK5, new-HSK3"
制度,zhì dù,制度,n,个,institution,"old-HSK5, new-HSK3"
制造,zhì zào,製造,"v, vn",,to manufacture; to make,new-HSK3
制作,zhì zuò,製作,"v, vn",,to make; to manufacture,"old-HSK5, new-HSK3"
中部,zhōng bù,中部,f,,middle part,new-HSK3
中部,zhōng bù,中部,f,,central section,new-HSK3
中华民族,Zhōng huá mín zú,中華民族,,,the Chinese nation,new-HSK3
中华民族,Zhōng huá mín zú,中華民族,,,the Chinese people (collective reference to all the ethnic groups in China),new-HSK3
终于,zhōng yú,終於,d,,at last,new-HSK3
终于,zhōng yú,終於,d,,in the end,new-HSK3
终于,zhōng yú,終於,d,,finally,new-HSK3
终于,zhōng yú,終於,d,,eventually,new-HSK3
钟,Zhōng,鍾,"n, nr",,surname Zhong,"old-HSK5, new-HSK3"
钟,zhōng,鍾,"n, nr",,handleless cup,"old-HSK5, new-HSK3"
钟,zhōng,鍾,"n, nr",,goblet,"old-HSK5, new-HSK3"
钟,zhōng,鍾,"n, nr",,to concentrate,"old-HSK5, new-HSK3"
钟,zhōng,鍾,"n, nr",,variant of 钟,"old-HSK5, new-HSK3"
钟,zhōng,鐘,"n, nr","架, 座",clock,"old-HSK5, new-HSK3"
钟,zhōng,鐘,"n, nr","架, 座",o'clock,"old-HSK5, new-HSK3"
钟,zhōng,鐘,"n, nr","架, 座",time as measured in hours and minutes,"old-HSK5, new-HSK3"
钟,zhōng,鐘,"n, nr","架, 座",bell,"old-HSK5, new-HSK3"
种,zhǒng,種,"q, v, g",,seed,new-HSK3
种,zhǒng,種,"q, v, g",,species,new-HSK3
种,zhǒng,種,"q, v, g",,kind,new-HSK3
种,zhǒng,種,"q, v, g",,type,new-HSK3
种,zhǒng,種,"q, v, g",,"classifier for types, kinds, sorts",new-HSK3
种,zhòng,種,"q, v, g",,to plant,new-HSK3
种,zhòng,種,"q, v, g",,to grow,new-HSK3
种,zhòng,種,"q, v, g",,to cultivate,new-HSK3
种子,zhǒng zi,種子,n,"颗, 粒",seed,new-HSK3
重大,zhòng dà,重大,a,,great,new-HSK3
重大,zhòng dà,重大,a,,important,new-HSK3
重大,zhòng dà,重大,a,,major,new-HSK3
重大,zhòng dà,重大,a,,significant,new-HSK3
周围,zhōu wéi,周圍,f,,environs; surroundings; periphery,new-HSK3
猪,zhū,豬,n,"口, 头",hog,new-HSK3
猪,zhū,豬,n,"口, 头",pig,new-HSK3
猪,zhū,豬,n,"口, 头",swine,new-HSK3
主持,zhǔ chí,主持,"v, vn",,to take charge of,"old-HSK5, new-HSK3"
主持,zhǔ chí,主持,"v, vn",,to manage or direct,"old-HSK5, new-HSK3"
主持,zhǔ chí,主持,"v, vn",,to preside over,"old-HSK5, new-HSK3"
主持,zhǔ chí,主持,"v, vn",,to uphold,"old-HSK5, new-HSK3"
主持,zhǔ chí,主持,"v, vn",,to stand for (justice etc),"old-HSK5, new-HSK3"
主持,zhǔ chí,主持,"v, vn",,to host (a TV or radio program etc),"old-HSK5, new-HSK3"
主持,zhǔ chí,主持,"v, vn",,(TV) anchor,"old-HSK5, new-HSK3"
主动,zhǔ dòng,主動,"ad, a, an",,to take the initiative,new-HSK3
主动,zhǔ dòng,主動,"ad, a, an",,to do sth of one's own accord,new-HSK3
主动,zhǔ dòng,主動,"ad, a, an",,spontaneous,new-HSK3
主动,zhǔ dòng,主動,"ad, a, an",,active,new-HSK3
主动,zhǔ dòng,主動,"ad, a, an",,opposite: passive 被动,new-HSK3
主动,zhǔ dòng,主動,"ad, a, an",,drive (of gears and shafts etc),new-HSK3
主任,zhǔ rèn,主任,n,个,director,new-HSK3
主任,zhǔ rèn,主任,n,个,head,new-HSK3
主意,zhǔ yi,主意,n,个,plan,new-HSK3
主意,zhǔ yi,主意,n,个,idea,new-HSK3
主意,zhǔ yi,主意,n,个,decision,new-HSK3
主意,zhǔ yi,主意,n,个,Beijing pr. [zhú yi],new-HSK3
主张,zhǔ zhāng,主張,"v, n",个,to advocate,"old-HSK5, new-HSK3"
主张,zhǔ zhāng,主張,"v, n",个,to stand for,"old-HSK5, new-HSK3"
主张,zhǔ zhāng,主張,"v, n",个,view,"old-HSK5, new-HSK3"
主张,zhǔ zhāng,主張,"v, n",个,position,"old-HSK5, new-HSK3"
主张,zhǔ zhāng,主張,"v, n",个,stand,"old-HSK5, new-HSK3"
主张,zhǔ zhāng,主張,"v, n",个,proposition,"old-HSK5, new-HSK3"
主张,zhǔ zhāng,主張,"v, n",个,viewpoint,"old-HSK5, new-HSK3"
主张,zhǔ zhāng,主張,"v, n",个,assertion,"old-HSK5, new-HSK3"
注意,zhù yì,注意,"v, vn",,to take note of; to pay attention to,new-HSK3
祝,Zhù,祝,"v, nr",,surname Zhu,new-HSK3
祝,zhù,祝,"v, nr",,to pray for,new-HSK3
祝,zhù,祝,"v, nr",,"to wish (sb bon voyage, happy birthday etc)",new-HSK3
祝,zhù,祝,"v, nr",,person who invokes the spirits during sacrificial ceremonies,new-HSK3
抓,zhuā,抓,v,,to grab,new-HSK3
抓,zhuā,抓,v,,to catch,new-HSK3
抓,zhuā,抓,v,,to arrest,new-HSK3
抓,zhuā,抓,v,,to snatch,new-HSK3
抓,zhuā,抓,v,,to scratch,new-HSK3
抓住,zhuā zhù,抓住,v,,to grab hold of; to capture,new-HSK3
专家,zhuān jiā,專家,n,,expert; specialist,"old-HSK5, new-HSK3"
专门,zhuān mén,專門,"d, b",,specialist,new-HSK3
专门,zhuān mén,專門,"d, b",,specialized,new-HSK3
专门,zhuān mén,專門,"d, b",,customized,new-HSK3
专题,zhuān tí,專題,n,,"specific topic (addressed by a book, lecture, TV program etc)",new-HSK3
专题,zhuān tí,專題,n,,"article, report or program etc on a specific topic",new-HSK3
专业,zhuān yè,專業,n,"门, 个",specialty,new-HSK3
专业,zhuān yè,專業,n,"门, 个",specialized field,new-HSK3
专业,zhuān yè,專業,n,"门, 个",main field of study (at university),new-HSK3
专业,zhuān yè,專業,n,"门, 个",major,new-HSK3
专业,zhuān yè,專業,n,"门, 个",professional,new-HSK3
转,zhuǎi,轉,v,,see 转文,new-HSK3
转,zhuǎn,轉,v,,to turn,new-HSK3
转,zhuǎn,轉,v,,to change direction,new-HSK3
转,zhuǎn,轉,v,,to transfer,new-HSK3
转,zhuǎn,轉,v,,to forward (mail),new-HSK3
转,zhuǎn,轉,v,,(Internet) to share (sb else's content),new-HSK3
转,zhuàn,轉,v,,to revolve,new-HSK3
转,zhuàn,轉,v,,to turn,new-HSK3
转,zhuàn,轉,v,,to circle about,new-HSK3
转,zhuàn,轉,v,,to walk about,new-HSK3
转,zhuàn,轉,v,,"classifier for revolutions (per minute etc): revs, rpm",new-HSK3
转,zhuàn,轉,v,,classifier for repeated actions,new-HSK3
转变,zhuǎn biàn,轉變,"v, vn",个,to change,"old-HSK5, new-HSK3"
转变,zhuǎn biàn,轉變,"v, vn",个,to transform,"old-HSK5, new-HSK3"
转变,zhuǎn biàn,轉變,"v, vn",个,shift,"old-HSK5, new-HSK3"
转变,zhuǎn biàn,轉變,"v, vn",个,transformation,"old-HSK5, new-HSK3"
状况,zhuàng kuàng,狀況,n,个,condition; state; situation,"old-HSK5, new-HSK3"
状态,zhuàng tài,狀態,n,个,condition; state; state of affairs,"old-HSK5, new-HSK3"
追,duī,追,v,,to sculpt,new-HSK3
追,duī,追,v,,to carve,new-HSK3
追,duī,追,v,,musical instrument (old),new-HSK3
追,zhuī,追,v,,to chase,new-HSK3
追,zhuī,追,v,,to pursue,new-HSK3
追,zhuī,追,v,,to look into,new-HSK3
追,zhuī,追,v,,to investigate,new-HSK3
追,zhuī,追,v,,to reminisce,new-HSK3
追,zhuī,追,v,,to recall,new-HSK3
追,zhuī,追,v,,to court (one's beloved),new-HSK3
追,zhuī,追,v,,to binge-watch (a TV drama),new-HSK3
追,zhuī,追,v,,retroactively,new-HSK3
追,zhuī,追,v,,posthumously,new-HSK3
准,zhǔn,准,"a, d, h, v",,to allow,new-HSK3
准,zhǔn,准,"a, d, h, v",,to grant,new-HSK3
准,zhǔn,准,"a, d, h, v",,in accordance with,new-HSK3
准,zhǔn,准,"a, d, h, v",,in the light of,new-HSK3
准,zhǔn,準,"a, d, h, v",,accurate,new-HSK3
准,zhǔn,準,"a, d, h, v",,standard,new-HSK3
准,zhǔn,準,"a, d, h, v",,definitely,new-HSK3
准,zhǔn,準,"a, d, h, v",,certainly,new-HSK3
准,zhǔn,準,"a, d, h, v",,"about to become (bride, son-in-law etc)",new-HSK3
准,zhǔn,準,"a, d, h, v",,quasi-,new-HSK3
准,zhǔn,準,"a, d, h, v",,para-,new-HSK3
资格,zī gé,資格,n,,qualifications,"old-HSK5, new-HSK3"
资格,zī gé,資格,n,,seniority,"old-HSK5, new-HSK3"
资金,zī jīn,資金,n,,funds; capital,"old-HSK5, new-HSK3"
自从,zì cóng,自從,p,,since (a time),"old-HSK5, new-HSK3"
自从,zì cóng,自從,p,,ever since,"old-HSK5, new-HSK3"
自动,zì dòng,自動,"d, b",,automatic,"old-HSK5, new-HSK3"
自动,zì dòng,自動,"d, b",,voluntarily,"old-HSK5, new-HSK3"
自觉,zì jué,自覺,"a, ad, v, an",,conscious,"old-HSK5, new-HSK3"
自觉,zì jué,自覺,"a, ad, v, an",,aware,"old-HSK5, new-HSK3"
自觉,zì jué,自覺,"a, ad, v, an",,on one's own initiative,"old-HSK5, new-HSK3"
自觉,zì jué,自覺,"a, ad, v, an",,conscientious,"old-HSK5, new-HSK3"
自然,zì rán,自然,"n, d, a",,nature,new-HSK3
自然,zì rán,自然,"n, d, a",,natural,new-HSK3
自然,zì rán,自然,"n, d, a",,naturally,new-HSK3
自身,zì shēn,自身,r,,itself,new-HSK3
自身,zì shēn,自身,r,,oneself,new-HSK3
自身,zì shēn,自身,r,,one's own,new-HSK3
自主,zì zhǔ,自主,"v, vn",,independent,new-HSK3
自主,zì zhǔ,自主,"v, vn",,to act for oneself,new-HSK3
自主,zì zhǔ,自主,"v, vn",,autonomous,new-HSK3
子女,zǐ nǚ,子女,n,,children; sons and daughters,new-HSK3
总,zǒng,總,"d, b, v",,general; overall,new-HSK3
总,zǒng,總,"d, b, v",,to sum up,new-HSK3
总,zǒng,總,"d, b, v",,in every case; always; invariably,new-HSK3
总,zǒng,總,"d, b, v",,anyway; after all; eventually; sooner or later,new-HSK3
总,zǒng,總,"d, b, v",,surely,new-HSK3
总,zǒng,總,"d, b, v",,(after a person's name) abbr. for 总经理 or 总编 etc,new-HSK3
总结,zǒng jié,總結,"v, vn",个,to sum up,new-HSK3
总结,zǒng jié,總結,"v, vn",个,to conclude,new-HSK3
总结,zǒng jié,總結,"v, vn",个,summary,new-HSK3
总结,zǒng jié,總結,"v, vn",个,résumé,new-HSK3
总是,zǒng shì,總是,"d, v",,always,new-HSK3
足够,zú gòu,足夠,"v, vn",,enough,new-HSK3
足够,zú gòu,足夠,"v, vn",,sufficient,new-HSK3
足球,zú qiú,足球,n,个,soccer ball,new-HSK3
足球,zú qiú,足球,n,个,a football,new-HSK3
足球,zú qiú,足球,n,个,soccer,new-HSK3
足球,zú qiú,足球,n,个,football,new-HSK3
组合,zǔ hé,組合,"v, n, vn",,to assemble,"old-HSK5, new-HSK3"
组合,zǔ hé,組合,"v, n, vn",,to combine,"old-HSK5, new-HSK3"
组合,zǔ hé,組合,"v, n, vn",,to compose,"old-HSK5, new-HSK3"
组合,zǔ hé,組合,"v, n, vn",,combination,"old-HSK5, new-HSK3"
组合,zǔ hé,組合,"v, n, vn",,association,"old-HSK5, new-HSK3"
组合,zǔ hé,組合,"v, n, vn",,set,"old-HSK5, new-HSK3"
组合,zǔ hé,組合,"v, n, vn",,compilation,"old-HSK5, new-HSK3"
组合,zǔ hé,組合,"v, n, vn",,(math.) combinatorial,"old-HSK5, new-HSK3"
左右,zuǒ yòu,左右,"m, f, v",,left and right,new-HSK3
左右,zuǒ yòu,左右,"m, f, v",,nearby,new-HSK3
左右,zuǒ yòu,左右,"m, f, v",,approximately,new-HSK3
左右,zuǒ yòu,左右,"m, f, v",,attendant,new-HSK3
左右,zuǒ yòu,左右,"m, f, v",,to control,new-HSK3
左右,zuǒ yòu,左右,"m, f, v",,to influence,new-HSK3
作品,zuò pǐn,作品,n,"部, 篇",work (of art),"old-HSK5, new-HSK3"
作品,zuò pǐn,作品,n,"部, 篇",opus,"old-HSK5, new-HSK3"
作者,zuò zhě,作者,n,,author; writer,new-HSK3
做客,zuò kè,做客,v,,to be a guest or visitor,new-HSK3
唉,āi,唉,e,,"interjection or grunt of agreement or recognition (e.g. yes, it's me!)",old-HSK5
唉,āi,唉,e,,to sigh,old-HSK5
唉,ài,唉,e,,alas,old-HSK5
唉,ài,唉,e,,oh dear,old-HSK5
爱护,ài hù,愛護,"v, vn",,to cherish,old-HSK5
爱护,ài hù,愛護,"v, vn",,to treasure,old-HSK5
爱护,ài hù,愛護,"v, vn",,to take care of,old-HSK5
爱护,ài hù,愛護,"v, vn",,to love and protect,old-HSK5
爱惜,ài xī,愛惜,v,,to cherish,old-HSK5
爱惜,ài xī,愛惜,v,,to treasure,old-HSK5
爱惜,ài xī,愛惜,v,,to use sparingly,old-HSK5
安慰,ān wèi,安慰,"v, vn, an, a",个,to comfort,old-HSK5
安慰,ān wèi,安慰,"v, vn, an, a",个,to console,old-HSK5
岸,àn,㟁,"n, g",,variant of 岸,old-HSK5
岸,àn,岸,"n, g",个,bank; shore; beach; coast,old-HSK5
摆,bǎi,擺,v,,to arrange,old-HSK5
摆,bǎi,擺,v,,to exhibit,old-HSK5
摆,bǎi,擺,v,,to move to and fro,old-HSK5
摆,bǎi,擺,v,,a pendulum,old-HSK5
班主任,bān zhǔ rèn,班主任,n,,teacher in charge of a class,old-HSK5
傍晚,bàng wǎn,傍晚,t,,in the evening,old-HSK5
傍晚,bàng wǎn,傍晚,t,,when night falls,old-HSK5
傍晚,bàng wǎn,傍晚,t,,towards evening,old-HSK5
傍晚,bàng wǎn,傍晚,t,,at night fall,old-HSK5
傍晚,bàng wǎn,傍晚,t,,at dusk,old-HSK5
棒,bàng,棒,"a, g, q",,stick,old-HSK5
棒,bàng,棒,"a, g, q",,club,old-HSK5
棒,bàng,棒,"a, g, q",,cudgel,old-HSK5
棒,bàng,棒,"a, g, q",,smart,old-HSK5
棒,bàng,棒,"a, g, q",,capable,old-HSK5
棒,bàng,棒,"a, g, q",,strong,old-HSK5
棒,bàng,棒,"a, g, q",,wonderful,old-HSK5
棒,bàng,棒,"a, g, q",,classifier for legs of a relay race,old-HSK5
包裹,bāo guǒ,包裹,"n, v",个,to wrap up,old-HSK5
包裹,bāo guǒ,包裹,"n, v",个,to bind up,old-HSK5
包裹,bāo guǒ,包裹,"n, v",个,bundle,old-HSK5
包裹,bāo guǒ,包裹,"n, v",个,parcel,old-HSK5
包裹,bāo guǒ,包裹,"n, v",个,package,old-HSK5
包含,bāo hán,包含,v,,to contain,old-HSK5
包含,bāo hán,包含,v,,to embody,old-HSK5
包含,bāo hán,包含,v,,to include,old-HSK5
包子,bāo zi,包子,n,个,bao (steamed stuffed bun),old-HSK5
薄,Bó,薄,a,,surname Bo,old-HSK5
薄,báo,薄,a,,thin,old-HSK5
薄,báo,薄,a,,cold in manner,old-HSK5
薄,báo,薄,a,,indifferent,old-HSK5
薄,báo,薄,a,,weak,old-HSK5
薄,báo,薄,a,,light,old-HSK5
薄,báo,薄,a,,infertile,old-HSK5
薄,bó,薄,a,,meager,old-HSK5
薄,bó,薄,a,,slight,old-HSK5
薄,bó,薄,a,,weak,old-HSK5
薄,bó,薄,a,,ungenerous or unkind,old-HSK5
薄,bó,薄,a,,frivolous,old-HSK5
薄,bó,薄,a,,to despise,old-HSK5
薄,bó,薄,a,,to belittle,old-HSK5
薄,bó,薄,a,,to look down on,old-HSK5
薄,bó,薄,a,,to approach or near,old-HSK5
薄,bò,薄,a,,see 荷,old-HSK5
宝贝,bǎo bèi,寶貝,n,,treasured object,old-HSK5
宝贝,bǎo bèi,寶貝,n,,treasure,old-HSK5
宝贝,bǎo bèi,寶貝,n,,darling,old-HSK5
宝贝,bǎo bèi,寶貝,n,,baby,old-HSK5
宝贝,bǎo bèi,寶貝,n,,cowry,old-HSK5
宝贝,bǎo bèi,寶貝,n,,good-for-nothing or queer character,old-HSK5
宝贵,bǎo guì,寶貴,a,,valuable,old-HSK5
宝贵,bǎo guì,寶貴,a,,precious,old-HSK5
宝贵,bǎo guì,寶貴,a,,to value,old-HSK5
宝贵,bǎo guì,寶貴,a,,to treasure,old-HSK5
宝贵,bǎo guì,寶貴,a,,to set store by,old-HSK5
悲观,bēi guān,悲觀,"a, ad",,pessimistic,old-HSK5
背,bēi,揹,"v, n",,variant of 背,old-HSK5
背,bēi,背,"v, n",,to be burdened,old-HSK5
背,bēi,背,"v, n",,to carry on the back or shoulder,old-HSK5
背,bèi,背,"v, n",,the back of a body or object,old-HSK5
背,bèi,背,"v, n",,to turn one's back,old-HSK5
背,bèi,背,"v, n",,to hide something from,old-HSK5
背,bèi,背,"v, n",,to learn by heart,old-HSK5
背,bèi,背,"v, n",,to recite from memory,old-HSK5
背,bèi,背,"v, n",,unlucky (slang),old-HSK5
背,bèi,背,"v, n",,hard of hearing,old-HSK5
背景,bèi jǐng,背景,n,种,background; backdrop; context,old-HSK5
背景,bèi jǐng,背景,n,种,(fig.) powerful backer,old-HSK5
本科,běn kē,本科,n,,undergraduate course,old-HSK5
本科,běn kē,本科,n,,undergraduate (attributive),old-HSK5
本质,běn zhì,本質,n,,essence,old-HSK5
本质,běn zhì,本質,n,,nature,old-HSK5
本质,běn zhì,本質,n,,innate character,old-HSK5
本质,běn zhì,本質,n,,intrinsic quality,old-HSK5
比如,bǐ rú,比如,v,,for example,old-HSK5
比如,bǐ rú,比如,v,,for instance,old-HSK5
比如,bǐ rú,比如,v,,such as,old-HSK5
彼此,bǐ cǐ,彼此,r,,each other; one another,old-HSK5
必需,bì xū,必需,"v, vn",,to need,old-HSK5
必需,bì xū,必需,"v, vn",,to require,old-HSK5
必需,bì xū,必需,"v, vn",,essential,old-HSK5
必需,bì xū,必需,"v, vn",,indispensable,old-HSK5
毕竟,bì jìng,畢竟,d,,after all,old-HSK5
毕竟,bì jìng,畢竟,d,,all in all,old-HSK5
毕竟,bì jìng,畢竟,d,,when all is said and done,old-HSK5
毕竟,bì jìng,畢竟,d,,in the final analysis,old-HSK5
避免,bì miǎn,避免,v,,to avert,old-HSK5
避免,bì miǎn,避免,v,,to prevent,old-HSK5
避免,bì miǎn,避免,v,,to avoid,old-HSK5
避免,bì miǎn,避免,v,,to refrain from,old-HSK5
编辑,biān jí,編輯,"n, v, vn",,to edit,old-HSK5
编辑,biān jí,編輯,"n, v, vn",,to compile,old-HSK5
编辑,biān jí,編輯,"n, v, vn",,editor,old-HSK5
编辑,biān jí,編輯,"n, v, vn",,compiler,old-HSK5
鞭炮,biān pào,鞭炮,n,枚,firecrackers,old-HSK5
鞭炮,biān pào,鞭炮,n,枚,string of small firecrackers,old-HSK5
便,biàn,便,"d, g",,plain,old-HSK5
便,biàn,便,"d, g",,informal,old-HSK5
便,biàn,便,"d, g",,suitable,old-HSK5
便,biàn,便,"d, g",,convenient,old-HSK5
便,biàn,便,"d, g",,opportune,old-HSK5
便,biàn,便,"d, g",,to urinate or defecate,old-HSK5
便,biàn,便,"d, g",,equivalent to 就: then,old-HSK5
便,biàn,便,"d, g",,in that case,old-HSK5
便,biàn,便,"d, g",,even if,old-HSK5
便,biàn,便,"d, g",,soon afterwards,old-HSK5
便,pián,便,"d, g",,used in 便宜,old-HSK5
便,pián,便,"d, g",,used in 便,old-HSK5
便,pián,便,"d, g",,used in 嬛,old-HSK5
辩论,biàn lùn,辯論,"vn, v","场, 次",debate,old-HSK5
辩论,biàn lùn,辯論,"vn, v","场, 次",argument,old-HSK5
辩论,biàn lùn,辯論,"vn, v","场, 次",to argue over,old-HSK5
标点,biāo diǎn,標點,n,个,punctuation,old-HSK5
标点,biāo diǎn,標點,n,个,a punctuation mark,old-HSK5
标点,biāo diǎn,標點,n,个,to punctuate,old-HSK5
标志,biāo zhì,標誌,"n, v",,sign,old-HSK5
标志,biāo zhì,標誌,"n, v",,mark,old-HSK5
标志,biāo zhì,標誌,"n, v",,symbol,old-HSK5
标志,biāo zhì,標誌,"n, v",,logo,old-HSK5
标志,biāo zhì,標誌,"n, v",,to symbolize,old-HSK5
标志,biāo zhì,標誌,"n, v",,to indicate,old-HSK5
标志,biāo zhì,標誌,"n, v",,to mark,old-HSK5
表情,biǎo qíng,表情,n,,(facial) expression,old-HSK5
表情,biǎo qíng,表情,n,,to express one's feelings,old-HSK5
丙,bǐng,丙,Mg,,third of the ten Heavenly Stems 干,old-HSK5
丙,bǐng,丙,Mg,,third in order,old-HSK5
丙,bǐng,丙,Mg,,"letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc",old-HSK5
丙,bǐng,丙,Mg,,ancient Chinese compass point: 165°,old-HSK5
丙,bǐng,丙,Mg,,propyl,old-HSK5
病毒,bìng dú,病毒,n,,virus,old-HSK5
玻璃,bō li,玻璃,n,"张, 块",glass,old-HSK5
玻璃,bō li,玻璃,n,"张, 块",(slang) male homosexual,old-HSK5
脖子,bó zi,脖子,n,个,neck,old-HSK5
博物馆,bó wù guǎn,博物館,n,,museum,old-HSK5
不得了,bù dé liǎo,不得了,l,,desperately serious,old-HSK5
不得了,bù dé liǎo,不得了,l,,disastrous,old-HSK5
不得了,bù dé liǎo,不得了,l,,extremely,old-HSK5
不得了,bù dé liǎo,不得了,l,,exceedingly,old-HSK5
不好意思,bù hǎo yì si,不好意思,"v, a",,to feel embarrassed,old-HSK5
不好意思,bù hǎo yì si,不好意思,"v, a",,to find it embarrassing,old-HSK5
不好意思,bù hǎo yì si,不好意思,"v, a",,to be sorry (for inconveniencing sb),old-HSK5
不见得,bù jiàn de,不見得,d,,not necessarily,old-HSK5
不见得,bù jiàn de,不見得,d,,not likely,old-HSK5
不免,bù miǎn,不免,d,,inevitably,old-HSK5
不耐烦,bù nài fán,不耐煩,a,,impatient,old-HSK5
不耐烦,bù nài fán,不耐煩,a,,to lose patience,old-HSK5
不然,bù rán,不然,"c, v, a",,not so,old-HSK5
不然,bù rán,不然,"c, v, a",,no,old-HSK5
不然,bù rán,不然,"c, v, a",,or else,old-HSK5
不然,bù rán,不然,"c, v, a",,otherwise,old-HSK5
不然,bù rán,不然,"c, v, a",,if not,old-HSK5
不然,bù rán,不然,"c, v, a",,How about ...?,old-HSK5
不如,bù rú,不如,"v, c",,not equal to,old-HSK5
不如,bù rú,不如,"v, c",,not as good as,old-HSK5
不如,bù rú,不如,"v, c",,inferior to,old-HSK5
不如,bù rú,不如,"v, c",,it would be better to,old-HSK5
不要紧,bù yào jǐn,不要緊,v,,unimportant,old-HSK5
不要紧,bù yào jǐn,不要緊,v,,not serious,old-HSK5
不要紧,bù yào jǐn,不要緊,v,,it doesn't matter,old-HSK5
不要紧,bù yào jǐn,不要緊,v,,never mind,old-HSK5
不要紧,bù yào jǐn,不要緊,v,,"it looks all right, but",old-HSK5
不足,bù zú,不足,"v, an, a",,insufficient,old-HSK5
不足,bù zú,不足,"v, an, a",,lacking,old-HSK5
不足,bù zú,不足,"v, an, a",,deficiency,old-HSK5
不足,bù zú,不足,"v, an, a",,not enough,old-HSK5
不足,bù zú,不足,"v, an, a",,inadequate,old-HSK5
不足,bù zú,不足,"v, an, a",,not worth,old-HSK5
不足,bù zú,不足,"v, an, a",,cannot,old-HSK5
不足,bù zú,不足,"v, an, a",,should not,old-HSK5
步骤,bù zhòu,步驟,n,,procedure,old-HSK5
步骤,bù zhòu,步驟,n,,step,old-HSK5
财产,cái chǎn,財產,n,笔,property,old-HSK5
财产,cái chǎn,財產,n,笔,assets,old-HSK5
财产,cái chǎn,財產,n,笔,estate,old-HSK5
采访,cǎi fǎng,採訪,"v, vn",,to interview,old-HSK5
采访,cǎi fǎng,採訪,"v, vn",,to gather news,old-HSK5
